crop,market,district,date,modal_price,min_price,max_price
Onion,Raipur,Raipur,2026-08-28,1450,1200,1700
Onion,Durg,Durg,2026-08-28,1380,1140,1620
Onion,Bhilai,Durg,2026-08-28,1420,1170,1670
Onion,Bilaspur,Bilaspur,2026-08-28,1350,1110,1590
Onion,Raipur,Raipur,2026-08-27,1420,1170,1670
Onion,Raipur,Raipur,2026-08-20,1380,1140,1620
Onion,Raipur,Raipur,2026-08-01,1300,1073,1527
Onion,Raipur,Raipur,2026-07-01,1200,990,1410
Onion,Raipur,Raipur,2026-06-01,1100,908,1292
Onion,Raipur,Raipur,2026-05-01,1050,868,1232
Onion,Raipur,Raipur,2026-04-01,980,809,1151
Onion,Raipur,Raipur,2026-03-01,900,743,1057
Onion,Raipur,Raipur,2026-02-01,820,677,963
Onion,Raipur,Raipur,2026-01-01,780,644,916
Paddy,Raipur,Raipur,2026-08-28,2250,2100,2400
Paddy,Durg,Durg,2026-08-28,2200,2050,2350
Paddy,Bhilai,Durg,2026-08-28,2220,2070,2370
Paddy,Bilaspur,Bilaspur,2026-08-28,2180,2030,2330
Paddy,Raipur,Raipur,2026-08-27,2240,2090,2390
Paddy,Raipur,Raipur,2026-08-01,2200,2054,2346
Paddy,Raipur,Raipur,2026-07-01,2180,2035,2325
Paddy,Raipur,Raipur,2026-06-01,2160,2017,2303
Paddy,Raipur,Raipur,2026-05-01,2200,2054,2346
Paddy,Raipur,Raipur,2026-04-01,2300,2147,2453
Paddy,Raipur,Raipur,2026-03-01,2350,2193,2507
Paddy,Raipur,Raipur,2026-02-01,2400,2240,2560
Paddy,Raipur,Raipur,2026-01-01,2350,2193,2507
Wheat,Raipur,Raipur,2026-08-28,2150,2000,2300
Wheat,Durg,Durg,2026-08-28,2100,1950,2250
Wheat,Bhilai,Durg,2026-08-28,2120,1970,2270
Wheat,Bilaspur,Bilaspur,2026-08-28,2080,1930,2230
Wheat,Raipur,Raipur,2026-08-27,2140,1990,2290
Wheat,Raipur,Raipur,2026-08-01,2100,1953,2247
Wheat,Raipur,Raipur,2026-07-01,2050,1907,2193
Wheat,Raipur,Raipur,2026-06-01,2080,1934,2226
Wheat,Raipur,Raipur,2026-05-01,2150,2000,2301
Wheat,Raipur,Raipur,2026-04-01,2200,2046,2354
Wheat,Raipur,Raipur,2026-03-01,2250,2093,2407
Wheat,Raipur,Raipur,2026-02-01,2200,2046,2354

